10,이전에도 없었고 앞으로도 없을 영화.
10,스토리와 사연이 있기에 더 무서움.. 슬픈데 그래서 더 무서워.
9,너 지금 이 순간을 후회하게 될지도 몰라 명심해..모든 의문이 이 한마디로 인해 아귀가 맞아지고 한 없이 슬퍼지고 이해가 되는 영화
10,''너 지금 이순간 후회하게 될지도 몰라. 명심해' 라는 염정아의 말 뒤에 임수정이 문근영이 죽어가는 것을 알아채지 못하고 그냥 나가버리자 '돌이킬 수 없는 걸음' 이 나오는데 단...
10,불협화음으로 이루어진 아름다운 변주곡
10,말이 필요 없다 이 영화는
10,지금 염정아를 있게한 영화임
8,돌이킬 수 없는 걸음... ost 한번 정말 잘 골랐다. 이때의 염정아는 디 아더스의 니콜 키드먼을 연상케 한다
8,꽤 집중도가 높은 영화다. 상당히 괴기하면서도 나까지 정신이 나간게 아닐까라고 착각할 정도로 혼란스러웠던 영화
10,장화홍련은 너무 시대를 앞서간 작품인것같다딱 20년만 늦게 개봉했으면 우리나라를 대표할만한 공포영화가 될 명작이 됐을텐데...
10,뭔가 귀신보다 염정아가 더 무서워서 기억에 남았던 영화
9,이영화보고 부랄이 쪼그라듬. 공포영화 혼자 보는거 좋아하는데 이거는 진짜 혼자 도저히 못보겠어서 방문열고 봄
10,잼있네.. 염정아 연기 진짜 잘하넹
10,짱재미있구임수정완전이쁘게나옴..
10,평점 너무낮음 명작인데
10,공포 영화보고 임수정에게 반했던 영화. 후반 수연이 죽었다고 했을땐 머리털까지 섰던 기억이.. 정말 잘만든 영화인듯.
10,이렇게 여운남게하는.. 무서우면서 슬픈 억지스럽게 감정을 이끌지않고 자연스럽게 공포와 슬픔이 드러나는 공포영화가 또 나올 수 있을까
10,장화홍련은 전설이다.. 가슴이 웅장해진다..
10,"한국에서,그것도 17년전 작품이라고는 믿기지 않을정도로 심지어 흥행하기 쉽지 않은 공포영화라는 장르인데도 반전스릴공포와 깊은 여운을 같이 남기는 한국영화에 몇없는 명작"
10,마지막  장면은  정말 최고.... '돌이킬 수 없는 걸음' 이 흘러나오면서 진짜 마음이 아릿해짐
10,정말....우아한 공포물이라는 평이 딱 맞는 것 같다
10,강용석의 고소한 19에서 였나요? 장화홍련의 임수정씨는 영화를 찍을때 실제 귀신을 많이 봤다고하네요 그래서 찍을때 제사차렸고요
10,"2020년에 별 누르러 왔어요.. 공포영화를 너무 좋아하는 사람으로써 장화,홍련같은 영화의 연출과 영상미를 볼수 있는 날이 올까요? 존재만으로도 감사한 영화"
7,공포보단 슬픔이 어울리는
10,마지막 갈대밭에서 그녀가 한번만 뒤돌아 봤다면
9,한국영화의 르네상스기를 장식한 수작
10,한국에서 다시는 나올 수 없는 웰메이드 공포영화... 마지막에 임수정이 갈대밭을 걸어가는 그 장면은 잊을 수 없음.... 여기서 나온 배경음악은 아직도 듣고있음
10,이게 8점대라고 ㅋㅋㅋ미친 내생각엔 한국모든영화중 탑10은 당연히 들어가고 탑5도 노려볼만한 작품이다 2003년엔 도대체뭔일이 있었는지 미친작품만 나오던해였다
10,당시 실시간으로 보고 지금 음악을 들어도 여운이 남네요
8,공포보다도... 슬프고 아련하다. 그리고 돌이킬 수 없음 OST는 너무나도 적절해서 또 슬퍼진다.
10,이 영화의 공포는 시각이나 청각같은 감각에 있지 않다. 진실을 마주하였을 때 수미와 우리는 얼마나 충격받았나. 너무 잊어버리고 싶은데 평생을 따라다니는 기억은 유령보다 무섭고. 누구보다 자신을 미워하고 단죄할 수밖에...
10,어렸을때는 귀신이 무서웠지만 10년이 지난 뒤에 보니 사람이 무서운 영화
10,시나리오도 연출도 연기도 미술도 음악도 모두 다 완벽했던 영화. 무려 16년전 영화임에도 전혀 촌스럽지 않고 볼 때마다 빠져보게 되는 영화.
10,평점 9점도 안되는게 말이되냐 이 명작을
10,진짜 우아한 공포영화 연기도 너무 잘하고 스토리도 너무 좋다
10,공포물이 이렇게 아름다울 수가 있군요... 무서운 장면들이 아름다움과 대비되서 더 극적으로 보이는 것 같아요.. 그리고 BGM의 제목이 왜 돌이킬 수 없는 걸음인지... 이제 알았네요
10,요즘 나오는 꾸며진 억지공포가 아닌 클래식한 공포 다시 한번 개봉해서 영화관에서 봤으면 좋겠다 이렇게 깔끔하고 소름돋는 공포영화라니!!!! 최고야
10,식스센스급 반전12년전에 나온 영화라곤 믿기지 않을 정도
10,"한동안 씽크대 밑, 가구천장사이를 쳐다 보지 못했다. 모든컷이 의미있는 수작."
6,문희영  무서워하는모습이  난  더  전나  더  무섭다ㄷㄷ
10,이 이상의 공포영화가 있을까?
10,임수정 문근영 이쁘고 연기잘함ㅠㅠㅠ
8,떡밥회수가 잘 된 공포영화는 명작이 된다.
10,먹먹함 고독함 아픔 쓰라림 등등 모든 단어로도 형상화 할 수 없는 감정...
10,진짜 잘 만든 국내 아니 전세계에서도 손 꼽힐만한 명작
10,조던 필 감독의 추천으로 보게 되었다. 너무 무서워서 그동안 못보고 있었는데 낮에 보길 추천한다. 보고난 후 해석을 보면 더 이해가 잘 간다.
10,왜 평점이 8점대인건지 이해할 수 없는데요..
10,스포 없이 맞닥드린 반전은 정말 엄청난 충격이다...근데 앵무새 키우는 사람으로서 진짜 죽인것 같은데 불쌍...
10,관객수가 25명 실화냐... 다시 재개봉해서 천만찍었으면 좋겠네요
10,공포영화이기도 하지만 내가 아는 가장 슬픈 영화
10,마지막 연출이.. 환상적이네요
10,"내가 공포영화의 리뷰를 쓰게 될줄도 몰랐고,공포영화를 보고 감탄했던 적도 처음이다.이건 가히 작품이라 할 만큼 예술적이다.이런 작품을 아직까지 안보고 있다면 바로 이 영화를 사서 보아라공포라는 장르가  이 작품을 못..."
10,"어릴때는 그냥 무섭다, 반전 대박!! 이러고 끝이었는데, 나이 먹고 다시 보니 마지막에 눈물 뚝뚝 ㅠㅠㅠ"
10,"특유의 압도되는 분위기 하며, 마지막 장면에 깔리는 음악은 찬란하고 비참하게 영화의 시작을 알린다."
10,슬픔과 후회의 정서를 너무 아름답게 표현한 공포영화
10,"OST부터 연기와 공포, 스토리까지 무결점"
10,OST만큼 슬픈 자매이야기.
10,2003년은 진짜 한국영화 최고의 리즈시절
10,"죽기 직전 마지막으로 딱 하나의 영화를 볼 수 있다면 주저하지 않고 이 영화를 고를 거예요. 내 인생 최고의 걸작인 장화, 홍련."
10,작품의 전반적인 내용도 최고지만 특히 염정아의 마지막 대사가 머릿속에 각인을 시킨다 안좋은 기억들이 평생 유령처럼 떠돌아다닐 수 있다고
10,10여년이 훌쩍넘어 20주년을 향해가네..시간이 너무 무섭다. 지금봐도 너무나 세련되고 아름다운 한국 최고의 공포영화.
10,스토리가 탄탄했을 뿐더러 귀신이 나올 때의 소리와 방법 모두 개봉한 지 10년이 넘은 영화임에도 불구하고 신선하다. 최근 봤던 공포영화 중에 단연 최고인 것 같다. 앞으로도 이런 영화가 나왔으면 좋겠다. 글고 문근영...
10,"ㄹㅇ인생공포영화..오래된 영화라는게 믿기지않을 정도로 요즘 나오는 영화보다 무서움 또 후에 반전도 좋았고.,굿!"
8,완소 임수정... 조금 어렵다..
10,공포영화를 봤지만 아름다운 수필을 읽은 느낌이다...이만한 공포영화는 다신 없을 것이다..아름답다
10,네이버 vod 서비스 해주시면 안될까요??
10,귀신 나온 단 한장면만 아니었으면 무한 반복할텐데 한국영화 최고의 역작
10,나에겐 너무 슬픈....
10,GV도 좋았구요 자막으로 영어로해석된것도 좋았어요
10,한국 공포 영화중 가장 슬프면서 애처로운 영화였다.
9,진짜 무섭고 배경음악도 좋은 (슬프기두 한) 영화... 유명배우들 연기에 진짜 소름...ㅜㅜ 진짜진짜 강추인 영화♡
10,예술이다..이렇게 완성도 높은 영화를 이해하지 못함은 자신의 지적수준과 이해력을 탓해야지..
10,진짜 희대의 명작.단순한 공포물이 아님
9,인생 최고의 슬픈 공포영화
10,11년후 다시봐도 정말 좋은영화
10,돌이킬 수 없는 걸음...
10,단순 공포물이 아닌 하나의 아름다운 비극적인 예술을 접한 느낌연출과 스토리 ost 배경 다 훌륭하다아련함이 묻아나는 연출이 너무 좋아저 때의 임수정 너무 아름답다저 때의 카메라 앵글도 좋고
10,모두 최고다 진심
10,우리나라 최고영화입니다. 처음으로 검색하고 또 검색했던 나의 띵작... 아직도 생각나네요.
9,보고난후 여러 장면장면을 곱씹어봐야 할정도로 수작이다
10,인생영화 중 하나에요문득문득 미쟝센 스쳐가고 돌이킬수없는걸음 이따금씩 들리지 않아도 들려와요
10,희대의 띵작....연기 연출 스토리 그리고 대망의 ost까지... 모든것이 완벽 그 자체
10,죄의식에서 비롯되는 사람의 감정들이 무섭게 닿았네요
10,"미치도륵 슬픈, 그래서 무서운 영화"
10,결말을 알고 나면 무서웠던 귀신도 전혀 무서워지지 않는 것 같다 비참하고 공허한 영화
10,"한 가장의 나약함이 잔인함으로 변모하고 그것은 바이러스 처럼 퍼져 아내와 자매들에게 전이 된다. 여기서 잘못한 사람은 아무도 없다. 바람이 불면 낙엽이 떨어지고 낙엽이 떨어지면 빗자루가 쓸어가기 마련, 바람은 계속 ..."
10,이걸 이길수 있는 공포영화가 또 나올까?...
10,와..이 영화는 미쳤습니다.
10,괜히 명작 소리 듣는게 아님....
10,음산하고 기괴하고 무서우면서 슬프다. 배경음악의 이름을 알고 수미가 집을 빠져나오는 장면을 보면 더 소름이 돋는다. 그렇게 아끼던 동생을 끝내 지키지 못한 수미의 죄의식과 자책감이 가득한 집 안은 후회와 슬픔만이 남...
10,"아직도 나는 장화홍련을 넘는 인생영화를 찾지 못했다. 영상미부터 배우들의 연기, 스토리, OST까지 아쉬운게 한가지도 없는 완벽한 영화"
10,초딩3학년때 볼때는 마냥 무서웠는데...26살인 지금은 너무 새로운 영화 같이 다르다
10,공포영회인줄 알고봤다가눈물이났다.
10,공포영화지만 너무 슬픈 영화다
10,한국 공포영화중에 최고!!!!
10,볼 땐 정말 무서운데 가 보고 나면 너무 슬픈 영화..
10,오랜만에 다시 봤는데 복선부터 반전까지 정말 소름돋음ㅠㅠ 내 인생영화ㅠㅠㅠ
10,이 영화를 학생때 영화관에서 본 것에 감사한다.
10,영상미가 너무 좋았다. 전개도 좋았고 결말은 완벽했다.
10,그냥 입닫고 보셈 재밌음.
10,"벌써15년이라니,, 최고 공포 영화 ㅠ 영화관에서 미관 찌프리고 나왔죠 ㅎ 아직도 공포영화는무섭네요!!"
10,진정한 '마지막 장면을 위한 영화'.
10,브금은 가히 최고 여운..ㅠㅠ
10,중학교 때 보고 충격먹은 영화..한국 공포영화에 이런 명작이 다시 나올까 싶다
10,"2003년 작품.. 벌써, 20년이 다 되어가는 영화라는게 놀라울 따름.. 시대를 너무 앞선 작품이랄까? ㅜㅜ 음악과 영상미가 압권이었던.. 그리고, 지나고서야 알았다.. 배우 염정아의 놀라운 연기력.. 이작품을 통..."
10,여전히 나에겐 최고의 한국 영화.
10,
10,10점 만점 깨뜨린사람 누구야
10,"어렸을 적엔 정말 이거만큼 무서운 한국영화가 없었다. 우연한 계기로 최근에 다시 보게 되었는데, 공포보다는 씁쓸함과 슬픔이 입가에 맴돌았다. 배우들의 연기력도 훌륭하고 ost는 더할 나위없이 아름다웠다고 생각한다."
10,마스터피스.배우들의 연기와 음악이 너무 훌륭하다.
10,공포를 뛰어 넘은 애절한 스토리와 아름다운 미장센과 여운이 감도는 OST.
10,그냥 .. 완벽한 영화임
10,돌이킬 수 없는 걸음...
10,17년째 봐도 또 보고싶은 영화
10,"식스센스, 디 아더스 이 영화들 이전에 나왔다면 세계적인 명작 반열에 오를 작품"
10,제가 이거 볼라고 지금까지 살아왔나봅니다....
10,간만에 생각나서옴 이렇게 가끔씩 다시 생각나는 영화들이 정말 잘만든 영화
10,2020년 다시봐도 명작.장재형의 OST 도 꼭 찾아서 들어보길 권장한다.
9,너 점점 엄마 닮아 간다.
10,와 평점10점의 명작은 첨본다...
10,아직까지도 손에꼽는 명작노래들으면 아직도 슬픔
10,감상포인트 다 누른 영화는 처음
10,
10,걍 ost도 최고다 평점높은이유가 괜히있는것이 아님
10,내생에 최고의 공포영화
10,처음 이영화가 나왔을때 극장가서 보구 집에 무서워서 못들어갔던 기억이나네요ㅋㅋ 무섭기도하지만 연출이나 음악 연기 모든면에서 잘만든 영화입니다
10,"알포인트, 여고괴담1과 더불어 한국 공포영화의 명작 중 하나!!!"
10,한국 공포영화 중 마스터피스
10,한국형 공포영화의 완성작..
10,너무... 너무 명작입니다. 정말 좋아하는 영화
10,그냥 슬프고 또 슬프고 또또또 슬프고 여운이 남는다
10,최고다 다시 봐도...
9,스토리도 괜찮고 공포부분도 좋았습니다. 엄청 무섭다 그런건 아니지만 시각으로만 즐기기보단 생각도 해야해서 더 괜찮았던 영화였습니다.
10,명작을 보면 짖는 개가 짖습니다
10,곽미향 비긴즈 “수미야 너 지금 이 순간 후회하게 될지도 몰라..명심해” 후회하지 않을 자신있냐고 물었습니다. 어머닌 혜나의 죽음과 무관하십니까?
10,반전도 분위기도 나를 압도시켰다 ..
10,"공포, 슬픔, 아름다움의 감정을 동의어로 만들어버린 김지운의 인생작품. 다시 나오기 힘든 한국영화의 명작"
10,연기 진짜 잘하고 무서운데 슬퍼요
10,내가 이영화때문에 싱크대 공포증 생겼자너
10,15년만에 다시 보았다. 그때보다 훨씬 더 몰입되었고 먹먹함이 밀려들면서 여운이 짙게 남았다. 공포영화를 보며 아름답고 슬프다를 말할수 있다니.. 헐리웃에서 리메이크 실패할만하다. 도저히 이런 감성은 못만들듯
9,"음악마저 아름다운, 한국 최고의 공포 영화"
10,"처음에 이 영화 스포 다 당하고 봐서 '아나,,,무슨 공포와 소름이 있겠어' 하고 봤는데 내가 본 스포 다 씹어먹을 정도의 소름돋는 이야기였다 와"
10,명작.다른말 필요없음
10,이영화는 솔직히 감독출연칸에 음악감독도 써야된다 진심으로
10,내가 뽑는 최고의 한국공포영화..
10,이 영화는 마지막 장면에서 휘몰아친다
10,김지운 감독표 웰메이드 공포영화!!!
10,13년된 영화지만 음악도 영상미도 국내영화 중에선 최고라고 생각함. 몇번봐도 안 질리는 매력이 있음. 오늘 오랜만에 다시 봤는데 울컥 눈물나서 검색해봄.. 특히 ost 진짜 신의 한수!!
10,아직도 기억에 많이 남네요
10,아름다운 공포 영화..돌이킬수없는걸음이 주는 여운은 엄청나다 영화 끝나고 눈물이 흘렀다
10,생각보다 기묘한 이야기네요
10,눈물나는 공포영화다.
10,내 인생영화. 공포영화지만 아름답고 슬펐던 영화.
8,외면하고자 했던 진실을 마주했을 때의 서늘한 참극. 마지막 갈대밭에서 이병우의 돌이킬 수 없는 걸음은 영화의 전체적 메시지를 대변한다.
10,10년이나 지난 영화인데도 불구하고 전혀 뒤쳐지지않고 오래 기억남는영화 공포영화는 보고 나면 찝찝하거나 기분나쁜영화들이 대부분인데 이 영화는 신비로운 분위기에 갑툭튀도 없어서 되게 재밌게본영화
9,"채널CGV에서 이 영화 다시보기를 해주는데 봐야될지 모르겠다. 안 보기에는 너무 아쉽고, 그렇다고 보기에는 무섭고."
9,나는 김지운이 남성적인 감성을 가진 영화만 만드는 사람인줄 알았는데 의외로 이런 섬세하고 여성적인 감성의 영화도 잘 만드는 감독이라는걸 이제서야 알게 되었다. 아름답게 섬짓하고 우아하게 처연한 영화. 김지운 필모에서...
9,반전 2003년도당시 한국공포영화중에는 충격이였다.그때당시에는 몇번씩봐도 이해못하는사람도 있었지..ㅋㅋ\어쩃든 분명한건 장화홍련은 기리기리남을 수작이다..
10,최고.. 몇번을봐도 여운이남는 몇안돼는 수작
10,분위기가 참 멋있고 무서워요. 마지막에 대반전에소름이끼쳤습니다 영화만들어주신분께 감사드려요
10,한국 공포영화 중 수작..
10,머리가 크고나서 보니까 여러모로 괜찮은 영화
10,어릴때는 무슨뜻인지도 모르고 봤는데 지금와서 보니 소름돋네요 정말 최고의 영화중 하나!
10,무섭고 슬프고 아름다운 영화
10,"귀신이 갑자기 튀어나오는 그런 공포물이 아닌 분위기와 노래, 배경등 공포적인 분위기를 연출을 참 잘했다고 생각이 드는 공포영화"
10,평생 기억에 남을 명작!
10,"음악부터 연출,스토리 ,연기 뭐 하나 빠지지않는 영화였다! 아직도 여름이 되면 꼭 챙겨보는 영화."
10,길이길이 남을 최고의 명작 ㅠㅠ
10,우리나라 공포영화 중 탑임
8,역시 김지운은 달랐다!
10,진짜이영화이기는국내공포영화는없다무엇보다 ost가최고다 왜돌이킬수없는걸음인지 영화가끝난뒤 아 하고깨달음. 여운도길고최고였다근데귀신은존나무섭다
10,10점 안줄시 문재인 대깨문
9,"수미의 아버지를 제외한 인물들이 모두 수미 자신이 투영되어 있는 허구의 인물들이었다는 걸 알았을 때, 그리고 영화 말미에 모든 진실이 드러났을 때, 모든 조각들이 맞춰지며 전율이 오르는 동시에 수미라는 사람이 가진 ..."
10,공포 영화 좋아하는데 외국 한국 할 거 없이 공포영화 중에 최고인듯. 연기력 스토리도 좋고 특히 ost가 대박임ㅜ 몇 번을 봐도 안 질려
10,내가 본 한국영화중 가장 충격이 컸던 작품이었다.
9,마냥 공포영화인줄 알고 봤는데 슬퍼서 울었다. 여운도 길고 작품성이 있는 영화
10,볼수록 드러나는 슬픔. 갈대밭으로 걸어가는 수미의 쓸쓸한 모습은 가슴에 아로새겨져 수년이 지나도 먹먹함이 느껴짐. 염정아의 연기도 압권. 아프고 슬프고 예쁜 내인생 최고의 공포영화. 수작이란 표현은 이 작품에 써야함...
10,말이필요없는 영화. 귀차니즘이 몸에벤 내가 유일하게 네이버 영화에 평점을 준 영화
10,아름답고 슬픈 한국 공포영화의 수작
10,와..진짜 2003년 충무로에 무슨일이 있었던거냐..
10,염정아 연기 진짜 .. 대단
10,두번째 볼때 더 소름돋았던 영화
8,"장소 세팅을 연극처럼 해놓고 철저히 극적이고 비현실적인 이야기를 펼치는 점이, 공포 장르 특성과 잘 맞다. 현실성을 고려하는 대신 그 자리를 채운 미쟝센과 음악, 캐스팅과 연출이 좋다. 좋은 선택과 좋은 결과물"
9,돌이킬 수 없는 걸음 영화를 관통한다
10,한국공포영화중에 탑쓰리!
10,염정아의 재발견...
10,돌이킬 수 없는 수미의 발걸음과 닿지 않을 곳에 멈춰버린 수연이의 시간.
10,지루하긴 뭐가 지루해ㅡㅡ 몰입도가 장난 아니구만..
9,무섭도록 아름답고 슬펐던 영화. 마지막 장면이 끝나고 꽤 오랜 시간 일어나지 못했던 기억이...
10,15년만에 다시 봤는데 역시 명작. 김지운 감독님 이런 공포물 다시 만들어주세요~
10,한국의 '식스센스'라고 평가하고 싶다. 반전도 반전이지만 무엇보다도 미장센이 끝장난다. 14년이나 지난 지금은 2017년 이지만 요즘 한국영화들을 보면 2003년도에 나온 이 영화에 반의 반의 반도 못...
10,공포영화가 평점이 8점대면 거의일반 9점대영화인건 다들알거라고봄.. 10년더된영화라고봐서도 또 그냐우영화자체만 보더라도 연출 등 모두 훌륭하고 특히 공포영화의 부족한 요소가될수있는 스토리도 훌륭..
10,영화가 영상미도있고 너무예쁘네요...
10,이제 오래된 영화지만 세번째 다시 봐도 식상하지 않다. 영화 구석 구석 치밀한 반전 설치와 영상미와 ost 명작이다 문근영과 임수정의 한창 이쁠 때랑 염정아까지 배우들의 연기도 일품이다
10,공포보다 더 큰 슬픔과아픔
10,"개봉당시에 평가 낮고 주위반응도 별로여서 왜 이 무섭고 재밌는 영화를?! 했던게 아직도 기억에 남는데, 물타기였었나보다. 공포영화를 좋아해서 항상 찾아서 보지만, 계속 개봉하는 무섭지않은 공포영화를 보면서 생각한다...."
8,임수정과 문근영을 다시는 이시간으로 돌이킬수가 없다 !!!
10,대한민국 최고 공포영화
10,마지막여운이 오래남네요
10,처음 봤을때는 어떤것이반전인지 잘몰랐으나 몇번이나다시보니 구성이 너무 잘된거같고 ost 또한 기억에남는 한국의 몇안되는 공포영화중 베스트1이라고 생각되네요
10,"어릴 땐 그저 무서운 영화였는데 나이를 먹어가며 가끔 찾아보면서 알 수 있었다. 어마어마한 수작이라는 것을. 영화가 끝날 때 쯤 공포가 처절한 슬픔으로 바뀌는 그 순간, 관객의 감상은 끝나지 않고 다시 이어진다."
10,내가 본 영화중에 탑1이다..
